time,lhip,lknee,lankle,rhip,rknee,rankle
0.0,17.10156931851662,24.64997,0.0720968391608356,-76.89672368224205,17.0897,-0.1610986013986017
0.03,15.917959607976115,26.59517,3.162097006993003,-75.66797985338853,17.778599999999997,-0.3365531468531469
0.06,14.357446619266536,28.550570000000004,6.751392023310019,-74.521268638109,18.281,-0.5016106759906761
0.09,12.97327766875872,30.64897,10.654269710955706,-72.8120480726076,18.633000000000003,-0.6635123193473196
0.12,10.363556010161933,33.053070000000005,14.685017892773883,-70.3348626140727,18.7177,-0.8294992074592077
0.15,7.687609443706326,35.55387,18.65792439160844,-68.25188251134495,18.7043,-1.0068124708624735
0.18,4.631324109023998,38.19417,22.57139742191148,-66.34244252730265,18.3731,-1.140186480186483
0.21,1.6261425228059836,40.72677,25.952410125874195,-64.74642198174837,18.0669,-1.357727342657346
0.24,-1.6702652220560683,43.14217000000001,28.14322139860148,-62.45449558669525,17.739800000000002,-1.6733974125874167
0.27,-4.459232740553792,45.47457,29.37546610722619,-60.25532339300853,17.4989,-2.0666407459207514
0.3,-7.005014258951452,47.70697,29.679425687645764,-58.39001645639056,17.4504,-2.559259720279727
0.32999999999999996,-8.979854019467776,49.86957,28.65090193473201,-56.48107515085025,17.5529,-3.1601650349650434
0.36,-10.232073468344014,51.964470000000006,26.16186044289051,-54.81698498977709,17.735100000000003,-3.801472610722621
0.39,-13.066969819942518,53.89857000000001,22.87659829836836,-52.73225951229243,17.8206,-4.44810146853148
0.42,-16.16306347873943,55.68997,20.297076130536187,-50.84900014960355,17.8485,-5.042401421911436
0.44999999999999996,-18.34051376697593,57.19637,17.57713291375296,-48.69445968184312,17.7391,-5.51385489510491
0.48,-19.79209170201293,58.38017000000001,15.18714662004666,-46.53293771505511,17.543,-5.9283487645687805
0.51,-21.519342698471814,59.33487000000001,13.337550181818216,-44.55443075849,17.348,-6.353842470862487
0.54,-24.407155603239808,60.04737,11.725503473193504,-42.64075200718098,17.1976,-6.745685874125892
0.57,-26.27766319967535,60.74157000000001,10.691619498834529,-40.96843365082532,17.1299,-7.1046440326340505
0.6,-27.55863403136413,61.337770000000006,9.62235792540795,-39.04877075749265,17.0879,-7.518340909090929
0.63,-29.106272270925636,61.81707,7.975026785547806,-37.29441978756296,17.0956,-8.009543473193492
0.6599999999999999,-30.94125756725055,62.00067,6.4379611888112045,-35.598912880865704,17.0338,-8.533605477855499
0.69,-33.16265210937978,61.87607,5.480167697902112,-33.73335660499676,16.8856,-9.042660955710978
0.72,-35.01748319778527,61.51417000000001,5.561209077855493,-31.62344786316262,16.7512,-9.543318531468556
0.75,-36.68419618983028,61.05887,5.384545222377636,-29.78930833291777,16.634999999999998,-10.07137960372963
0.78,-38.22983317304752,60.44187000000001,5.337204709557123,-27.844462175235623,16.5188,-10.64010361305364
0.8099999999999999,-39.611533907397416,59.64247,5.250262690909105,-25.915823068867503,16.4311,-11.184795454545483
0.84,-40.93653237865993,58.69937,4.97849364662006,-24.21064179923204,16.338,-11.649891025641056
0.87,-41.9416633775648,57.59147,4.506928133799546,-22.31302049568643,16.2068,-12.061690326340358
0.8999999999999999,-43.12123722114438,56.44467,3.3520606769230863,-20.68007280706129,16.1504,-12.502217832167863
0.9299999999999999,-44.61367413987669,55.19917,1.9398764228438277,-19.27462225103476,16.1571,-12.923840209790242
0.96,-45.92382995991928,53.80027,0.907224331934734,-17.708647085224154,16.127,-13.306729487179522
0.99,-46.90678036767526,52.14747,0.4245832689976697,-16.053383533635866,15.953399999999998,-13.669591491841528
1.02,-47.69694308093414,50.18517,0.3949629370629378,-14.57078741335461,15.7601,-14.033665151515187
1.05,-48.50711835763562,48.00887,0.5513573892773903,-12.9026579564155,15.331,-14.353510839160876
1.08,-49.1666990944315,45.704170000000005,0.8739430769230788,-10.787513090310677,14.8229,-14.59995909090913
1.1099999999999999,-49.24207975006532,43.36207,1.2235632167832198,-8.577320101730415,14.2664,-14.79794603729608
1.14,-49.54610394303089,40.87417000000001,1.70693081585082,-7.088116491298061,13.8786,-14.994991958041997
1.17,-50.04024748870123,38.37787,2.439152365967372,-5.404453199022591,13.2762,-15.22301247086251
1.2,-50.71367024854491,35.614369999999994,3.45556543123544,-3.7386425971176394,12.741699999999998,-15.474378904428946
1.23,-50.27589542323791,32.800470000000004,4.700534743589756,-1.830765970179025,12.2545,-15.718537412587455
1.26,-50.43766364439898,29.71527,6.012891748251764,-0.0827604348476537,11.761,-15.959801981352026
1.29,-50.61710962993434,26.63287,7.210648883449902,2.0304218820126665,11.1708,-16.170079603729647
